ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
459061,Female,Yes,35,Yes,Healthcare,9,High,3,Cat_6,A
459062,Male,,48,Yes,Executive,,High,5,Cat_6,B
459064,Male,Yes,26,No,Executive,5,High,4,Cat_6,D
459064,Male,Yes,27,No,Executive,5,High,4,Cat_6,A
459065,Male,Yes,51,Yes,Engineer,,Low,2,Cat_6,D
459065,Male,Yes,52,Yes,Engineer,,Low,2,Cat_6,A
459066,Male,Yes,47,Yes,Executive,8,High,4,Cat_6,C
459068,Female,No,33,Yes,Healthcare,2,Low,2,Cat_6,A
459069,Male,Yes,25,Yes,Doctor,0,Average,2,Cat_6,A
459070,Female,Yes,66,No,Lawyer,,Low,1,Cat_6,A
459071,Male,No,28,Yes,Healthcare,5,Low,4,Cat_6,C
459072,Male,Yes,66,Yes,Entertainment,1,Average,2,Cat_6,C
459073,Female,No,26,Yes,Healthcare,0,Low,3,Cat_6,C
459074,Female,No,30,Yes,Healthcare,0,Low,4,Cat_4,C
459074,Female,No,29,Yes,Healthcare,0,Low,4,Cat_4,A
459076,Male,Yes,69,No,Doctor,0,Average,2,Cat_6,C
459077,Female,Yes,82,No,Lawyer,0,High,2,Cat_6,A
459077,Female,Yes,79,No,Lawyer,1,High,2,Cat_6,A
459078,Male,Yes,70,Yes,Lawyer,0,High,2,Cat_6,B
459079,Male,Yes,84,Yes,Lawyer,,High,2,Cat_6,A
459079,Male,Yes,87,Yes,Lawyer,,High,2,Cat_6,A
459080,Male,Yes,77,No,Lawyer,0,Low,2,Cat_6,D
459080,Male,Yes,89,No,Lawyer,1,Low,2,Cat_6,A
459081,Male,Yes,63,Yes,Artist,0,Average,4,Cat_6,C
459082,Male,,45,Yes,Artist,1,Low,,Cat_6,A
459083,Male,Yes,58,Yes,Artist,8,Average,3,,C
459083,Male,Yes,63,Yes,Artist,9,Average,3,,A
459084,Male,Yes,47,No,Executive,0,High,2,Cat_7,B
459085,Male,No,22,No,Marketing,4,Low,3,Cat_6,A
459086,Female,No,28,No,Healthcare,1,Low,2,Cat_6,B
459087,Female,No,21,No,Doctor,0,Low,3,Cat_6,C
459088,Female,No,20,No,Healthcare,1,Low,5,Cat_6,D
459089,Male,No,19,No,Artist,9,Low,7,Cat_7,B
459090,Male,No,31,No,Artist,1,Low,2,Cat_6,A
459091,Male,Yes,67,Yes,Artist,0,Average,6,Cat_1,B
459091,Male,Yes,72,Yes,Artist,1,Average,6,Cat_1,A
459092,Male,Yes,60,Yes,Executive,0,High,4,Cat_6,B
459093,Female,Yes,39,Yes,Doctor,8,Average,2,,C
459093,Female,Yes,41,Yes,Doctor,9,Average,2,,A
459094,Female,No,31,No,Healthcare,1,Low,5,Cat_6,C
459095,Male,Yes,35,No,Entertainment,9,Low,3,Cat_1,A
459096,Male,,80,No,Lawyer,0,Low,1,Cat_6,A
459097,Male,Yes,88,Yes,Lawyer,0,High,2,Cat_6,A
459098,Male,Yes,42,Yes,Entertainment,,Low,3,Cat_6,D
459099,Male,Yes,30,Yes,Doctor,8,Average,2,Cat_6,A
459100,Female,No,63,Yes,Artist,14,Low,1,Cat_6,B
459100,Female,No,61,Yes,Artist,11,Low,1,Cat_6,A
459101,Male,Yes,81,No,Lawyer,8,Low,2,Cat_6,B
459104,Male,No,22,No,Healthcare,0,Low,,Cat_6,D
459105,Male,Yes,39,Yes,Executive,5,High,3,Cat_6,C
459106,Male,Yes,60,Yes,Artist,1,Low,2,Cat_6,C
459106,Male,Yes,62,Yes,Artist,0,Low,2,Cat_6,A
459107,Male,Yes,55,Yes,Artist,1,Low,2,Cat_6,C
459108,Male,No,23,No,Healthcare,,Low,5,Cat_6,D
459109,Male,Yes,49,Yes,Entertainment,7,Average,4,Cat_6,C
459111,Male,Yes,41,Yes,Executive,0,Low,4,Cat_6,B
459112,Female,Yes,72,Yes,Lawyer,1,High,,,C
459114,Male,Yes,57,Yes,Artist,1,Average,2,Cat_6,C
459114,Male,Yes,56,Yes,Artist,1,Average,2,Cat_6,A
459115,Female,No,21,No,Marketing,1,Low,5,Cat_4,D
459116,Male,Yes,60,Yes,Artist,2,Average,5,Cat_6,A
459117,Male,Yes,66,Yes,Artist,1,High,2,Cat_6,C
459117,Male,Yes,68,Yes,Artist,0,High,2,Cat_6,A
459118,Male,No,21,No,Healthcare,,Low,8,Cat_6,D
459118,Male,No,19,No,Healthcare,,Low,8,Cat_6,A
459119,Male,Yes,61,Yes,Executive,9,High,3,Cat_6,C
459119,Male,Yes,57,Yes,Executive,8,High,3,Cat_6,A
459120,Male,No,23,No,Healthcare,5,Low,5,Cat_2,D
459120,Male,No,19,No,Healthcare,5,Low,5,Cat_2,A
459121,Female,Yes,51,Yes,Artist,3,Average,6,Cat_6,A
459122,Female,Yes,51,Yes,Artist,6,Average,5,Cat_6,C
459123,Female,Yes,86,No,Artist,1,High,2,Cat_6,A
459124,Female,Yes,75,Yes,Artist,1,High,3,Cat_6,B
459125,Female,No,32,Yes,Artist,,Low,7,Cat_6,A
459126,Male,Yes,61,Yes,Artist,2,Low,2,Cat_6,B
459127,Male,No,43,Yes,Healthcare,1,Low,7,Cat_6,D
459128,Female,Yes,78,No,Lawyer,0,High,3,Cat_6,B
459129,Female,No,26,Yes,Marketing,9,Low,,Cat_3,D
459130,Female,Yes,74,No,Lawyer,0,High,2,Cat_6,A
459130,Female,Yes,74,No,Lawyer,1,High,2,Cat_6,A
459132,Male,No,20,No,Entertainment,5,Low,2,Cat_6,D
459132,Male,No,23,No,Entertainment,6,Low,2,Cat_6,A
459133,Male,No,23,No,Entertainment,1,Low,3,Cat_4,D
459134,Female,Yes,69,Yes,Lawyer,0,High,2,Cat_6,C
459135,Male,Yes,53,Yes,Executive,0,High,4,Cat_6,C
459136,Male,Yes,47,Yes,Artist,0,Average,2,Cat_6,A
459137,Male,Yes,42,Yes,Artist,7,Average,2,Cat_6,C
459138,Male,Yes,53,Yes,Artist,1,Average,3,Cat_6,C
459139,Female,Yes,53,Yes,Artist,1,Average,2,Cat_4,C
459140,Female,No,18,No,Healthcare,7,Low,6,Cat_6,D
459140,Female,No,19,No,Healthcare,7,Low,6,Cat_6,A
459141,Male,Yes,28,No,Artist,0,Average,2,Cat_6,D
459142,Female,Yes,89,Yes,Artist,0,High,3,Cat_6,C
459143,Male,Yes,47,No,Artist,0,High,4,Cat_6,B
459143,Male,Yes,50,No,Artist,0,High,4,Cat_6,A
459144,Male,Yes,80,Yes,Lawyer,,High,2,Cat_6,A
459145,Male,Yes,88,No,Lawyer,,Low,1,Cat_2,A
459145,Male,Yes,78,No,Lawyer,,Low,1,Cat_2,A
459146,Male,Yes,69,Yes,Artist,1,Low,2,Cat_6,A
459147,Male,Yes,81,Yes,Entertainment,1,Low,1,Cat_6,D
459148,Female,No,20,No,Healthcare,2,Low,3,Cat_4,D
459149,Male,Yes,43,No,Executive,0,High,4,Cat_6,B
459150,Female,No,49,Yes,Doctor,0,Low,1,Cat_6,A
459150,Female,No,48,Yes,Doctor,0,Low,1,Cat_6,A
459151,Male,Yes,60,Yes,Lawyer,9,Low,2,Cat_6,B
459152,Female,No,40,Yes,Artist,8,Low,2,Cat_6,B
459153,Female,Yes,75,Yes,,0,High,2,Cat_6,B
459154,Male,Yes,88,Yes,Lawyer,0,High,2,Cat_6,A
459156,Female,Yes,81,Yes,Lawyer,1,High,2,Cat_6,A
459157,Male,No,37,Yes,Engineer,1,Low,1,Cat_6,D
459158,Male,No,36,No,Engineer,3,Low,3,Cat_6,D
459159,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,A
459160,Male,Yes,70,Yes,Doctor,1,Average,2,Cat_6,A
459161,Male,Yes,51,Yes,Executive,3,High,5,Cat_6,C
459161,Male,Yes,50,Yes,Executive,3,High,5,Cat_6,A
459162,Female,Yes,85,Yes,Lawyer,0,High,2,Cat_6,A
459162,Female,Yes,83,Yes,Lawyer,0,High,2,Cat_6,A
459163,Male,No,42,Yes,Entertainment,1,Low,1,Cat_6,A
459163,Male,No,35,Yes,Entertainment,0,Low,1,Cat_6,A
459165,Male,No,27,No,Doctor,7,Low,3,Cat_6,C
459166,Male,Yes,77,Yes,Artist,1,Low,1,Cat_6,A
459167,Female,No,42,Yes,Artist,1,Low,2,Cat_5,C
459167,Female,No,36,Yes,Artist,0,Low,2,Cat_5,A
459168,Female,No,36,Yes,Artist,5,Low,2,Cat_6,B
459170,Female,No,36,Yes,Artist,0,Low,1,Cat_6,B
459170,Female,No,35,Yes,Artist,1,Low,1,Cat_6,A
459171,Male,Yes,40,Yes,Artist,1,Average,2,Cat_6,C
459171,Male,Yes,35,Yes,Artist,0,Average,2,Cat_6,A
459172,Male,No,21,No,Healthcare,3,Low,3,Cat_2,D
459172,Male,No,18,No,Healthcare,3,Low,3,Cat_2,A
459173,Male,Yes,55,Yes,Artist,1,Average,2,Cat_6,C
459174,Male,No,43,Yes,Artist,1,Low,2,Cat_4,B
459175,Female,Yes,70,Yes,Artist,1,Average,2,Cat_6,C
459175,Female,Yes,73,Yes,Artist,1,Average,2,Cat_6,A
459177,Female,Yes,39,Yes,Artist,1,Average,4,Cat_6,A
459178,Male,Yes,48,Yes,Executive,0,High,5,Cat_6,C
459179,Male,Yes,60,No,Entertainment,0,Average,3,Cat_6,B
459180,Male,Yes,66,Yes,Executive,1,High,2,Cat_6,C
459181,Male,Yes,58,No,Artist,0,High,3,Cat_6,D
459181,Male,Yes,62,No,Artist,1,High,3,Cat_6,A
459182,Female,Yes,46,Yes,Artist,1,Average,2,Cat_6,A
459183,Female,No,26,Yes,Artist,1,Low,3,Cat_2,A
459184,Male,Yes,39,Yes,Entertainment,1,Low,4,Cat_4,A
459184,Male,Yes,43,Yes,Entertainment,0,Low,4,Cat_4,A
459185,Female,No,25,Yes,Entertainment,5,Low,1,Cat_6,D
459185,Female,No,32,Yes,Entertainment,7,Low,1,Cat_6,A
459187,Female,Yes,52,No,Doctor,0,Average,3,Cat_4,B
459188,Male,No,27,No,Healthcare,1,Low,3,Cat_6,C
459189,Male,No,26,No,Healthcare,1,Low,6,Cat_6,C
459191,Male,Yes,49,Yes,Artist,0,Low,1,Cat_6,B
459192,Male,Yes,35,Yes,Artist,3,Average,3,Cat_6,C
459193,Male,No,38,Yes,Artist,1,Low,1,Cat_6,A
459193,Male,No,39,Yes,Artist,0,Low,1,Cat_6,A
459194,Female,Yes,81,Yes,Lawyer,1,High,2,Cat_6,C
459194,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6,A
459195,Female,Yes,58,Yes,Artist,1,Average,2,Cat_6,C
459196,Female,No,23,No,Healthcare,1,Low,3,Cat_4,D
459196,Female,No,18,No,Healthcare,0,Low,3,Cat_4,A
459197,Female,Yes,39,Yes,,0,Average,2,Cat_6,A
459198,Female,Yes,66,Yes,Artist,0,Average,3,Cat_6,C
459200,Female,Yes,39,Yes,Artist,2,Average,4,Cat_6,C
459201,Female,Yes,66,Yes,Artist,0,Average,2,Cat_6,C
459203,Male,Yes,35,Yes,Engineer,0,Low,2,Cat_6,B
459204,Female,Yes,35,Yes,Engineer,0,Average,2,Cat_6,B
459206,Female,No,25,No,Artist,1,Low,3,Cat_6,C
459207,Female,Yes,62,,Doctor,0,Average,4,Cat_6,B
459208,Female,Yes,61,Yes,Artist,1,High,2,Cat_3,C
459208,Female,Yes,57,Yes,Artist,0,High,2,Cat_3,A
459209,Female,No,21,No,Entertainment,1,Low,4,Cat_6,C
459209,Female,No,18,No,Entertainment,0,Low,4,Cat_6,A
459210,Female,Yes,68,Yes,Artist,1,High,2,Cat_6,C
459210,Female,Yes,71,Yes,Artist,1,High,2,Cat_6,A
459212,Female,Yes,68,Yes,Artist,1,Average,2,Cat_6,C
459212,Female,Yes,69,Yes,Artist,0,Average,2,Cat_6,A
459213,Female,No,38,Yes,Healthcare,0,Low,4,Cat_6,A
459213,Female,No,42,Yes,Healthcare,0,Low,4,Cat_6,A
459214,Female,No,26,Yes,Engineer,0,Low,3,Cat_6,C
459215,Female,Yes,58,Yes,Artist,0,Low,3,Cat_3,C
459216,Female,No,42,Yes,Artist,1,Low,2,Cat_6,A
459216,Female,No,36,Yes,Artist,0,Low,2,Cat_6,A
459217,Female,Yes,60,No,Lawyer,1,Average,3,Cat_6,B
459218,Male,Yes,88,Yes,Lawyer,0,High,3,Cat_6,C
459219,Female,Yes,47,Yes,Artist,0,Average,3,Cat_6,C
459220,Female,Yes,77,Yes,Lawyer,1,High,2,Cat_6,A
459220,Female,Yes,80,Yes,Lawyer,1,High,2,Cat_6,A
459221,Male,Yes,70,No,Entertainment,,Low,1,Cat_6,B
459221,Male,Yes,69,No,Entertainment,,Low,1,Cat_6,A
459222,Female,Yes,68,Yes,Artist,1,Average,3,Cat_6,C
459222,Female,Yes,67,Yes,Artist,0,Average,3,Cat_6,A
459223,Female,Yes,47,Yes,Doctor,1,Average,4,Cat_6,C
459223,Female,Yes,47,Yes,Doctor,1,Average,4,Cat_6,A
459224,Female,Yes,48,Yes,Artist,0,Average,2,Cat_6,C
459224,Female,Yes,49,Yes,Artist,0,Average,2,Cat_6,A
459225,Female,Yes,49,Yes,Artist,0,Average,4,Cat_6,C
459226,Female,Yes,43,Yes,Artist,0,Average,2,Cat_1,C
459227,Female,Yes,31,No,Engineer,9,Low,4,Cat_6,A
459227,Female,Yes,32,No,Engineer,9,Low,4,Cat_6,A
459228,Female,Yes,52,Yes,Artist,0,Average,4,Cat_6,C
459229,Female,Yes,65,Yes,Lawyer,0,Average,4,Cat_6,B
459229,Female,Yes,65,Yes,Lawyer,1,Average,4,Cat_6,A
459230,Male,Yes,43,No,Artist,7,High,4,Cat_6,B
459231,Female,Yes,43,Yes,Artist,3,Average,4,Cat_6,C
459232,Female,Yes,59,Yes,Artist,0,High,2,Cat_6,C
459233,Female,Yes,53,Yes,Marketing,6,Low,1,Cat_6,D
459234,Female,Yes,83,No,Lawyer,1,Low,1,Cat_6,D
459235,Male,Yes,55,No,Entertainment,1,Low,,Cat_4,A
459236,Female,Yes,86,No,Lawyer,0,High,2,Cat_6,B
459236,Female,Yes,78,No,Lawyer,0,High,2,Cat_6,A
459237,Male,No,29,Yes,Artist,1,Low,6,Cat_6,A
459237,Male,No,33,Yes,Artist,1,Low,6,Cat_6,A
459238,Female,Yes,80,Yes,Lawyer,,High,2,Cat_6,A
459239,Male,Yes,81,No,Entertainment,1,Low,1,Cat_6,A
459240,Female,No,28,Yes,Artist,1,Low,1,Cat_6,A
459241,Male,Yes,46,No,Entertainment,,Low,5,Cat_6,D
459242,Male,Yes,65,Yes,Executive,0,Low,4,Cat_6,B
459244,Male,Yes,48,Yes,Artist,1,Low,1,Cat_6,A
459245,Female,Yes,38,No,Engineer,0,Average,4,Cat_6,B
459247,Male,Yes,60,Yes,Executive,0,Average,5,Cat_6,C
459247,Male,Yes,58,Yes,Executive,1,Average,5,Cat_6,A
459248,Male,Yes,58,Yes,Executive,3,Average,4,Cat_3,B
459250,Male,Yes,50,Yes,Doctor,1,Average,4,Cat_6,C
459251,Male,No,35,Yes,Artist,0,Low,1,Cat_6,B
459252,Male,Yes,66,Yes,Lawyer,0,High,3,Cat_6,A
459253,Male,Yes,36,Yes,Artist,1,Average,4,Cat_6,C
459254,Male,Yes,57,Yes,Doctor,,Low,1,Cat_6,A
459255,Female,No,33,Yes,Healthcare,0,Low,3,Cat_6,A
459256,Female,Yes,46,Yes,Artist,0,High,4,Cat_6,B
459258,Female,Yes,74,Yes,Lawyer,1,High,,Cat_6,B
459258,Female,Yes,83,Yes,Lawyer,1,High,,Cat_6,A
459259,Male,Yes,74,Yes,Lawyer,,High,2,Cat_6,C
459260,Male,Yes,37,Yes,Artist,0,Average,4,Cat_7,C
459261,Female,No,32,Yes,Doctor,0,Low,3,Cat_6,C
459262,Female,No,31,No,Entertainment,9,Low,4,Cat_6,C
459263,Female,No,32,No,Healthcare,8,Low,4,Cat_6,D
459263,Female,No,30,No,Healthcare,9,Low,4,Cat_6,A
459264,Female,No,42,Yes,Artist,0,Low,2,Cat_6,C
459264,Female,No,35,Yes,Artist,0,Low,2,Cat_6,A
459265,Female,Yes,41,Yes,Artist,0,Average,2,Cat_6,C
459266,Male,No,26,Yes,Healthcare,5,Low,5,Cat_6,D
459266,Male,No,32,Yes,Healthcare,6,Low,5,Cat_6,A
459267,Female,No,31,No,Healthcare,4,Low,3,Cat_6,A
459268,Female,No,33,No,Homemaker,7,Low,,Cat_6,D
459269,Male,Yes,58,Yes,Artist,0,Average,2,Cat_6,C
459270,Male,Yes,65,Yes,Homemaker,0,High,2,Cat_6,A
459270,Male,Yes,69,Yes,Homemaker,1,High,2,Cat_6,A
459271,Female,No,55,Yes,Artist,1,Low,1,Cat_6,A
459272,Female,Yes,60,Yes,Artist,0,High,2,Cat_6,C
459274,Female,Yes,82,Yes,Lawyer,0,High,2,Cat_6,B
459275,Female,No,18,No,Doctor,2,Low,4,Cat_6,D
459276,Female,No,20,No,Healthcare,0,Low,4,Cat_6,D
459277,Male,Yes,38,No,Entertainment,0,Low,2,Cat_6,B
459278,Male,Yes,65,No,Executive,,High,2,Cat_6,A
459279,Female,No,38,Yes,Artist,7,Low,1,Cat_6,C
459280,Male,Yes,60,Yes,,0,Low,1,Cat_6,B
459281,Male,Yes,41,Yes,Artist,0,Low,2,Cat_6,B
459282,Male,Yes,48,Yes,Artist,0,Average,2,Cat_6,C
459284,Female,Yes,70,Yes,Lawyer,1,High,2,Cat_6,C
459284,Female,Yes,71,Yes,Lawyer,1,High,2,Cat_6,A
459285,Male,No,76,Yes,Lawyer,0,Low,2,Cat_6,A
459286,Female,No,42,Yes,Artist,0,Low,1,Cat_6,D
459287,Male,No,35,Yes,Lawyer,1,Low,1,Cat_4,D
459287,Male,No,43,Yes,Lawyer,0,Low,1,Cat_4,A
459288,Male,Yes,41,Yes,Artist,1,Low,2,Cat_6,A
459288,Male,Yes,37,Yes,Artist,0,Low,2,Cat_6,A
459289,Male,No,39,Yes,Doctor,1,Low,1,Cat_6,A
459289,Male,No,42,Yes,Doctor,0,Low,1,Cat_6,A
459290,Female,Yes,70,Yes,Doctor,1,Average,2,Cat_6,A
459291,Female,No,38,Yes,Entertainment,0,Low,1,Cat_6,A
459292,Male,No,46,Yes,Artist,1,Low,2,Cat_6,C
459292,Male,No,46,Yes,Artist,0,Low,2,Cat_6,A
459293,Male,No,21,No,Healthcare,,Low,,Cat_1,A
459294,Male,No,23,No,Healthcare,9,Low,4,Cat_6,D
459296,Male,Yes,70,Yes,Artist,1,Average,2,Cat_6,C
459296,Male,Yes,70,Yes,Artist,0,Average,2,Cat_6,A
459297,Male,Yes,72,Yes,Executive,0,High,4,Cat_6,C
459298,Male,Yes,45,Yes,Artist,4,Average,4,Cat_6,C
459299,Male,No,36,Yes,Artist,,Low,3,Cat_6,B
459300,Female,Yes,58,Yes,Artist,0,Low,,Cat_6,C
459300,Female,Yes,61,Yes,Artist,1,Low,,Cat_6,A
459301,Female,No,33,Yes,Healthcare,0,Low,3,Cat_6,C
459302,Female,Yes,57,Yes,Artist,,Average,4,Cat_2,C
459303,Male,Yes,55,Yes,Artist,0,Low,1,Cat_6,B
459304,Female,Yes,43,Yes,Artist,8,Average,2,Cat_6,B
459305,Male,Yes,29,No,Healthcare,13,High,2,Cat_6,B
459306,Female,No,48,Yes,Artist,4,Low,1,Cat_6,C
459307,Male,Yes,62,Yes,Entertainment,0,Low,1,Cat_6,B
459307,Male,Yes,60,Yes,Entertainment,1,Low,1,Cat_6,A
459308,Female,Yes,47,Yes,Artist,0,Average,2,Cat_6,C
459309,Female,Yes,41,Yes,Artist,9,High,2,Cat_2,B
459310,Male,No,38,Yes,Entertainment,1,Low,2,Cat_2,D
459310,Male,No,37,Yes,Entertainment,0,Low,2,Cat_2,A
459311,Male,No,29,Yes,Executive,0,Low,5,Cat_6,C
459312,Male,No,22,No,Healthcare,1,Low,4,Cat_4,D
459313,Male,Yes,42,No,Entertainment,0,Average,4,Cat_6,C
459314,Male,Yes,46,Yes,Artist,,Average,4,Cat_6,C
459315,Female,Yes,27,Yes,Doctor,1,Low,2,Cat_4,D
459316,Male,Yes,32,Yes,Healthcare,1,Low,2,Cat_6,D
459316,Male,Yes,30,Yes,Healthcare,1,Low,2,Cat_6,A
459317,Male,Yes,52,Yes,Executive,1,High,4,Cat_6,C
459318,Female,No,32,Yes,Engineer,0,Low,3,Cat_6,D
459318,Female,No,32,Yes,Engineer,1,Low,3,Cat_6,A
459319,Female,Yes,46,No,Artist,1,High,2,Cat_6,C
459320,Male,Yes,26,Yes,Executive,0,Low,3,Cat_6,D
459320,Male,Yes,26,Yes,Executive,0,Low,3,Cat_6,A
459321,Male,Yes,81,Yes,Entertainment,1,Low,1,Cat_6,B
459322,Male,No,36,Yes,Marketing,0,Low,1,Cat_6,A
459322,Male,No,42,Yes,Marketing,0,Low,1,Cat_6,A
459323,Female,No,21,No,Doctor,,Low,,Cat_6,D
459323,Female,No,18,No,Doctor,,Low,,Cat_6,A
